,file_name,entity,label,normalised_entities
96,sample_judgement1_NER.csv,"Secy., Irrigation Deptt., Govt. of Orissa v. G.C. Roy [(1992) 1 SCC 508]",PRECEDENT,
97,sample_judgement1_NER.csv,Hindustan Construction Co. Ltd. v. State of J&K [(1992) 4 SCC 217],PRECEDENT,
98,sample_judgement1_NER.csv,"Bhagawati Oxygen Ltd. v. Hindustan Copper Ltd. [(2005) 6 SCC 462 : AIR 2005 SC 2071 :
JT (2005) 4 SC 73]",PRECEDENT,
99,sample_judgement1_NER.csv,C.K. Thakker,JUDGE,
100,sample_judgement1_NER.csv,MHADA,ORG,
101,sample_judgement1_NER.csv,Mcdermott International Inc.,ORG,
102,sample_judgement1_NER.csv,Pure Helium India (P) Ltd. [(2003) 8 SCC 593],PRECEDENT,
103,sample_judgement1_NER.csv,Mukand Ltd. v. Hindustan Petroleum Corpn. Ltd. [(2006) 9 SCC 383 : (2006) 4 Scale 453],PRECEDENT,
104,sample_judgement1_NER.csv,Krishna Bhagya Jala Nigam Ltd.,PRECEDENT,
105,sample_judgement1_NER.csv,30 th August 1977,DATE,
106,sample_judgement1_NER.csv,25th July 1989,DATE,
107,sample_judgement1_NER.csv,14 th February 2000,DATE,
108,sample_judgement1_NER.csv,15th October 2001,DATE,
109,sample_judgement1_NER.csv,B.R. GAVAI,JUDGE,
110,sample_judgement1_NER.csv,B.V. NAGARATHNA,JUDGE,
111,sample_judgement1_NER.csv,NEW DELHI,GPE,
112,sample_judgement1_NER.csv,"SEPTEMBER 30, 2022",DATE,
